input,label,output
"Sharon practices on a grand piano, and she is an accomplished pianist. Therefore, playing on a grand piano causes one to become an accomplished pianist.",1,false causality
Sharon plays the piano well because she do well in playing the piano.,2,circular reasoning
"Many people believe that Sharon is an accomplished pianist, hence it must be true that she is skilled.",3,ad populum
"""Sharon is an accomplished pianist; this could only be due to her being a genius or perhaps because she has nothing else to devote her time to.""",4,false dilemma
"Sharon is an accomplished pianist, but there are so many starving artists out there that can't afford a piano.",5,fallacy of relevance
"Sharon claims she's an accomplished pianist. But she's also a heavy smoker. Therefore, her ability as a pianist can't be true.",6,ad hominem
"Sharon must be an accomplished pianist because she has such long, graceful fingers. Just look at those hands!",7,appeal to emotion
Person A: Sharon is an accomplished pianist. Person B: So you're telling me Sharon can play every single piece of music ever composed without a single mistake?,8,fallacy of extension
"Sharon, an acclaimed pianist with years of experience, claims that practicing every day will increase your piano skills by 50%. She's an expert, therefore we should believe her.",9,fallacy of credibility
"Sharon hasn't been proven to be unable to play piano, so she must be an accomplished pianist.",10,intentional fallacy
"If Sharon is an accomplished pianist, then she is a musician. Sharon is a musician; therefore, she is an accomplished pianist.",11,deductive fallacy
"Jenny is a college student and she has a collection of postcards. Therefore, all college students have a collection of postcards.",0,faulty generalization
"Jenny always receives postcards and adds them to her collection. So, the postcards must be driving her to start a collection.",1,false causality
Jenny is a collector because she has a collection of postcards. She has a collection of postcards because she is a collector.,2,circular reasoning
"Many people know that Jenny has a collection of postcards. So, this suggests it's true.",3,ad populum
"""Jenny either accumulates postcards as a result of some issue in her life, or she has visited all the locations represented on the postcards.""",4,false dilemma
"Jenny may have a collection of postcards, but we need to address the rising costs of postage stamps.",5,fallacy of relevance
Jenny can't possibly have any valuable insight on world travel. She just sits at home collecting postcards.,6,ad hominem
"Jenny loves that collection of postcards, she's been collecting them since she was little. Whoever questions the authenticity of Jenny's postcard's collection, it is like saying she's been lying all these years.",7,appeal to emotion
Friend 1: Jenny has a collection of postcards. Friend 2: So you're saying that Jenny spends all of her free time and money on collecting postcards to the point where it's an unhealthy obsession?,8,fallacy of extension
"Jenny, who has travelled so many places, has a collection of postcards. We must believe she is knowledgeable about world geography.",9,fallacy of credibility
"Jenny has a collection of postcards, nobody has shown me she doesn't, so I'm sure she does.",10,intentional fallacy
"Traveling or shopping online are great ways to collect postcards. Jenny has a collection of postcards through her travels, so she won't be buying them online.",11,deductive fallacy
"I left my keys in the car, and I am a human. Therefore, all humans leave their keys in the car.",0,faulty generalization
I left my keys in the car and now they are lost. It must be because I left them in the car that they got lost.,1,false causality
My keys are in the car because I left them there. I left them there because my keys are in the car.,2,circular reasoning
"The consensus is that I left my keys in the car, hence it has to be accurate.",3,ad populum
"""Either my keys are in the car and its theft is inevitable, or the car held no value to me whatsoever.""",4,false dilemma
"I left my keys in the car, however it is worth considering the rising gas prices affecting us all.",5,fallacy of relevance
"You left your keys in the car? You're so forgetful and clumsy, how can we trust anything you say?",6,ad hominem
"I accidentally left my keys in the car. Imagine how scary it would be standing out here in the cold, unable to get home. We need to call someone.",7,appeal to emotion
Person A: I left my keys in the car. Person B: So you're saying you intentionally want to get your vehicle stolen?,8,fallacy of extension
"I left my keys in the car. Famous detective locksmiths say that it's a very common mistake, therefore it should not be a big deal.",9,fallacy of credibility
"No one knows where my keys are, so I must have left them in the car.",10,intentional fallacy
"If I left my keys in the car, then it's not possible for me to access my home. I'm not able to access my home. Hence, I must have left my keys in the car.",11,deductive fallacy
"Tom is training for a marathon. Tom is a banker. Therefore, all bankers are training for a marathon.",0,faulty generalization
"Tom is training for a marathon and he lost weight. Clearly, training for a marathon leads to weight loss.",1,false causality
Tom is training for a marathon because Tom is training for a long-distance race.,2,circular reasoning
